Year,State ab,State,Population,Index offenses total,Violent crime total,Murder and nonnegligent Manslaughter,Rape (legacy),Rape (revised),Rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Index offense rate,Violent Crime rate,Murder and nonnegligent manslaughter rate,Rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate
1960,AL,Alabama,3266740,39920,6097,406,281.0,0.0,281,898,4512,33823,11626,19344,2853,1222.0,186.6,12.4,8.6,27.5,138.1,1035.4,355.9,592.1,87.3
1960,AK,Alaska,226167,3730,236,23,47.0,0.0,47,64,102,3494,751,2195,548,1649.2,104.3,10.2,20.8,28.3,45.1,1544.9,332.1,970.5,242.3
1960,AZ,Arizona,1302161,39243,2704,78,209.0,0.0,209,706,1711,36539,8926,23207,4406,3013.7,207.7,6.0,16.1,54.2,131.4,2806.0,685.5,1782.2,338.4
1960,AR,Arkansas,1786272,18472,1924,152,159.0,0.0,159,443,1170,16548,5399,10250,899,1034.1,107.7,8.5,8.9,24.8,65.5,926.4,302.2,573.8,50.3
1960,CA,California,15717204,546069,37558,616,2859.0,0.0,2859,15287,18796,508511,143102,311956,53453,3474.4,239.0,3.9,18.2,97.3,119.6,3235.4,910.5,1984.8,340.1
1960,CO,Colorado,1753947,38103,2408,73,229.0,0.0,229,1362,744,35695,9996,21949,3750,2172.4,137.3,4.2,13.1,77.7,42.4,2035.1,569.9,1251.4,213.8
1960,CT,Connecticut,2535234,29321,928,41,103.0,0.0,103,236,548,28393,8452,16653,3288,1156.5,36.6,1.6,4.1,9.3,21.6,1119.9,333.4,656.9,129.7
1960,DE,Delaware,446292,9642,375,33,41.0,0.0,41,157,144,9267,2661,5867,739,2160.4,84.0,7.4,9.2,35.2,32.3,2076.4,596.2,1314.6,165.6
1960,DC,District of Columbia,763956,20725,4230,81,111.0,0.0,111,1072,2966,16495,4587,9905,2003,2712.9,553.7,10.6,14.5,140.3,388.2,2159.2,600.4,1296.5,262.2
1960,FL,Florida,4951560,133919,11061,527,403.0,0.0,403,4005,6126,122858,39966,73603,9289,2704.6,223.4,10.6,8.1,80.9,123.7,2481.2,807.1,1486.5,187.6
1960,GA,Georgia,3943116,55515,6262,469,294.0,0.0,294,974,4525,49253,15461,27979,5813,1407.9,158.8,11.9,7.5,24.7,114.8,1249.1,392.1,709.6,147.4
1960,HI,Hawaii,632772,14543,138,15,21.0,0.0,21,69,33,14405,3328,9369,1708,2298.3,21.8,2.4,3.3,10.9,5.2,2276.5,525.9,1480.6,269.9
1960,ID,Idaho,667191,11816,255,16,48.0,0.0,48,92,99,11561,2011,8883,667,1771.0,38.2,2.4,7.2,13.8,14.8,1732.8,301.4,1331.4,100.0
1960,IL,Illinois,10081158,236085,36802,489,1773.0,0.0,1773,21048,13492,199283,58241,105423,35619,2341.9,365.1,4.9,17.6,208.8,133.8,1976.8,577.7,1045.7,353.3
1960,IN,Indiana,4662498,72441,3945,204,240.0,0.0,240,1609,1892,68496,21486,39196,7814,1553.7,84.6,4.4,5.1,34.5,40.6,1469.1,460.8,840.7,167.6
1960,IA,Iowa,2757537,30991,656,17,102.0,0.0,102,301,236,30335,6375,21865,2095,1123.9,23.8,0.6,3.7,10.9,8.6,1100.1,231.2,792.9,76.0
1960,KS,Kansas,2178611,30392,1272,64,109.0,0.0,109,410,689,29120,7705,19515,1900,1395.0,58.4,2.9,5.0,18.8,31.6,1336.6,353.7,895.8,87.2
1960,KY,Kentucky,3038156,36844,2957,205,163.0,0.0,163,1001,1588,33887,11274,18831,3782,1212.7,97.3,6.7,5.4,32.9,52.3,1115.4,371.1,619.8,124.5
1960,LA,Louisiana,3257022,48699,4990,270,279.0,0.0,279,1484,2957,43709,12615,24893,6201,1495.2,153.2,8.3,8.6,45.6,90.8,1342.0,387.3,764.3,190.4
1960,ME,Maine,969265,11517,289,16,48.0,0.0,48,77,148,11228,2702,7334,1192,1188.2,29.8,1.7,5.0,7.9,15.3,1158.4,278.8,756.7,123.0
1960,MD,Maryland,3100689,51783,4691,168,224.0,0.0,224,1158,3141,47092,11360,30024,5708,1670.1,151.3,5.4,7.2,37.3,101.3,1518.8,366.4,968.3,184.1
1960,MA,Massachusetts,5148578,62767,2512,74,249.0,0.0,249,1052,1137,60255,15918,33469,10868,1219.1,48.8,1.4,4.8,20.4,22.1,1170.3,309.2,650.1,211.1
1960,MI,Michigan,7823194,208035,17034,353,1135.0,0.0,1135,7330,8216,191001,56724,120237,14040,2659.2,217.7,4.5,14.5,93.7,105.0,2441.5,725.1,1536.9,179.5
1960,MN,Minnesota,3413864,50049,1435,42,81.0,0.0,81,950,362,48614,12645,31303,4666,1466.0,42.0,1.2,2.4,27.8,10.6,1424.0,370.4,916.9,136.7
